"id_boardgame","id_mechanic"
1,1
2,1
3,3
4,4
4,5
5,6
5,7
6,7
6,6
7,10
7,6
7,12
8,13
8,14
9,15
9,16
10,6
10,7
11,6
11,7
12,21
12,22
12,23
13,24
13,25
13,26
14,27
15,28
15,12
15,22
15,31
15,32
16,25
16,34
17,21
18,36
18,7
18,12
18,39
19,40
19,41
20,21
21,22
21,4
21,40
22,31
24,47
24,12
25,27
26,40
26,25
28,32
28,12
29,22
29,55
30,22
30,57
30,25
31,59
31,22
32,13
32,62
32,59
33,21
33,14
33,66
34,10
34,21
34,7
35,13
35,71
36,21
36,73
37,22
37,10
37,31
38,77
38,26
38,40
39,6
39,81
41,21
41,83
41,40
42,85
42,27
42,81
43,71
43,1
43,16
45,14
45,23
46,22
47,94
48,22
49,10
49,97
49,98
49,12
50,55
51,77
51,22
52,21
52,1
52,13
53,36
53,10
53,108
53,7
54,4
54,40
55,112
55,12
56,1
56,115
57,25
57,22
60,28
60,22
60,97
61,77
61,40
62,66
62,22
63,71
64,21
64,27
64,128
65,27
66,27
67,40
67,22
67,47
68,41
68,135
69,28
69,137
69,32
70,40
70,115
70,14
71,142
72,1
75,22
75,7
76,40
76,21
76,83
77,97
77,12
79,12
81,4
81,40
82,12
83,155
84,6
84,22
84,158
85,159
85,137
85,112
86,159
86,137
89,27
90,21
91,14
91,21
91,7
91,4
91,23
92,1
93,62
93,22
95,6
95,22
95,4
96,21
96,62
96,179
97,21
97,5
97,83
98,3
100,41
100,4
101,21
101,55
102,12
103,14
103,83
103,97
103,55
104,179
104,7
104,62
105,128
108,3
109,22
109,137
110,4
110,22
110,202
110,27
110,13
112,179
112,21
112,23
112,71
114,21
114,135
115,97
115,12
116,25
116,214
116,215
117,12
118,128
121,10
121,21
122,26
122,40
123,22
123,62
128,26
128,6
128,25
129,7
129,6
130,7
130,6
131,23
131,4
131,233
132,55
133,4
134,4
135,22
135,83
136,97
136,25
136,7
136,32
136,12
138,22
138,245
138,34
139,16
139,15
140,39
140,16
141,4
142,4
142,41
142,31
143,28
143,12
144,22
144,40
144,25
144,28
146,135
146,4
148,55
148,32
149,265
149,25
149,267
152,40
152,12
152,31
153,179
153,40
154,137
154,159
155,62
157,85
158,71
159,22
159,55
160,31
161,40
161,265
161,59
162,284
162,27
163,81
164,22
165,55
165,22
166,36
166,59
166,13
167,24
167,135
167,295
168,6
168,41
168,4
168,7
169,4
169,22
170,22
170,36
171,36
172,13
172,21
173,21
173,22
173,7
174,22
174,311
174,6
176,4
176,21
176,22
177,21
177,25
177,55
179,28
179,97
179,22
179,12
180,77
181,12
181,25
181,97
182,32
182,12
183,59
183,25
183,34
184,12
184,62
184,112
184,22
185,22
185,55
186,155
186,28
186,284
187,22
187,7
188,22
189,85
189,13
190,55
191,25
191,22
192,179
192,62
192,214
192,13
194,97
195,155
195,55
195,22
196,31
196,358
197,13
197,21
197,22
198,71
198,21
198,1
199,62
199,155
199,40
200,6
200,22
201,115
202,284
203,22
203,85
204,21
205,4
205,40
205,22
206,77
207,22
207,21
208,23
209,71
210,21
210,22
210,31
211,25
211,155
211,40
212,22
212,13
212,21
213,31
213,22
214,22
214,62
214,6
215,12
215,16
216,27
216,81
217,32
218,32
219,27
219,404
220,13
220,202
222,22
222,26
222,409
223,1
224,28
224,25
225,28
225,6
226,26
226,62
227,40
227,4
228,40
228,4
229,13
229,62
231,22
231,15
231,59
232,62
232,22
233,22
234,12
234,62
235,27
235,432
236,15
236,434
237,31
237,4
238,155
239,71
239,13
240,71
240,13
242,21
242,27
243,3
244,12
244,31
247,59
247,448
248,55
250,450
250,434
253,16
254,128
255,21
256,34
257,434
257,59
258,77
258,40
259,55
261,112
261,6
261,83
262,22
263,40
263,155
264,62
264,448
265,36
266,25
266,214
267,22
267,4
269,22
270,4
270,267
270,40
270,7
271,3
272,6
272,25
272,26
273,13
273,27
273,16
274,22
274,179
275,12
276,6
276,41
276,4
276,7
277,265
280,22
280,4
281,137
281,6
282,23
282,4
282,233
283,13
283,27
284,27
284,504
284,13
285,137
286,26
286,62
287,71
287,13
287,21
288,6
288,7
288,28
288,32
291,12
291,97
292,21
293,179
293,21
293,23
293,71
294,22
295,14
295,13
296,16
296,15
298,55
298,4
299,98
299,6
300,4
300,5
300,108
301,22
302,24
303,4
304,21
304,22
304,12
306,112
306,12
307,22
307,23
307,21
308,28
308,25
308,22
309,32
310,22
310,14
310,6
311,55
312,12
312,4
313,25
313,12
313,214
314,55
316,6
316,22
317,55
317,28
318,25
318,40
319,21
319,85
319,13
320,21
320,85
320,13
321,112
321,284
322,21
322,85
322,576
323,22
323,14
323,6
324,32
324,22
325,450
326,137
326,22
327,284
327,4
328,22
328,55
329,25
330,22
330,4
331,1
331,13
332,22
332,40
333,22
334,55
336,22
337,32
