"id_boardgame","id_theme"
1,1
2,2
2,3
3,4
4,5
5,6
6,6
7,8
8,9
9,4
10,6
11,6
12,13
12,14
13,15
14,16
15,4
15,6
16,19
17,20
18,21
18,6
19,5
20,24
21,6
21,26
22,27
24,24
24,29
26,30
28,29
29,5
30,6
30,34
30,21
32,36
33,37
33,38
33,39
34,6
34,21
35,42
36,43
37,44
38,19
40,46
40,5
41,6
41,21
43,50
44,19
46,1
47,53
49,50
49,5
51,5
51,57
52,42
53,15
54,60
55,36
55,15
57,53
58,53
60,65
61,66
63,5
64,6
65,69
66,19
67,71
67,21
67,6
68,74
68,4
69,76
70,5
71,34
73,65
74,24
75,21
75,6
76,6
76,21
77,4
80,13
81,6
81,21
82,21
85,66
86,14
87,6
89,93
90,37
91,21
91,6
91,97
92,42
93,4
95,44
96,101
97,5
98,24
100,104
101,6
102,13
103,107
104,21
105,109
108,4
109,74
109,57
110,38
112,2
114,104
114,116
115,60
116,116
116,2
118,20
119,107
119,122
121,101
122,5
123,1
126,19
126,53
128,21
128,6
129,6
130,6
131,14
131,2
131,134
132,5
132,6
132,50
133,6
134,6
135,14
135,50
135,5
136,13
136,15
137,1
138,38
138,39
139,97
139,149
141,43
141,6
141,21
142,43
142,6
143,21
143,6
144,53
146,4
146,159
148,14
148,34
149,74
151,6
151,34
151,46
152,13
153,104
155,21
157,4
158,16
158,14
159,5
160,134
162,6
163,97
164,71
164,6
165,5
166,37
167,180
168,104
169,19
170,15
171,44
173,185
174,19
174,26
175,6
176,185
177,21
177,6
178,5
179,4
180,24
181,65
181,53
181,2
182,4
183,6
184,66
185,5
185,1
186,19
186,21
187,21
188,19
189,36
189,208
190,6
190,34
191,4
192,212
193,42
193,37
194,1
195,6
196,6
197,6
198,16
198,6
200,69
201,9
202,19
203,149
203,225
204,42
205,26
205,6
206,229
206,116
207,6
207,21
208,14
209,5
210,34
211,180
211,237
212,4
212,42
213,240
213,76
214,4
214,180
215,66
217,107
217,246
218,107
218,246
219,69
220,26
222,26
224,20
224,237
224,4
225,149
225,24
226,34
227,5
228,5
229,24
231,19
232,26
233,19
234,6
235,149
235,4
236,149
237,6
237,21
238,1
239,9
240,9
242,6
244,6
247,4
248,21
248,6
255,101
256,4
257,97
258,19
259,21
259,6
261,15
262,4
264,6
264,21
265,9
265,29
266,116
267,6
269,19
270,6
271,19
272,66
272,14
273,6
274,104
275,19
276,104
277,4
281,3
282,134
282,14
285,21
286,6
287,43
287,2
288,6
288,15
291,311
292,74
293,34
293,3
294,237
295,9
295,16
296,53
296,93
296,37
298,6
298,21
299,30
299,134
300,6
300,24
302,37
303,60
304,4
304,29
305,240
306,229
307,14
307,27
308,24
309,15
310,43
310,46
311,6
311,36
312,1
313,24
313,116
313,2
314,21
314,6
315,237
315,13
316,149
317,5
318,21
318,6
319,39
320,107
321,65
322,6
323,43
323,46
324,66
327,21
327,6
328,5
329,4
331,46
331,37
333,6
334,50
334,5
334,6
336,370
338,15
339,6
339,21
340,19
341,104
342,42
342,21
343,42
344,19
345,370
346,6
347,37
347,42
348,246
349,5
351,37
352,15
352,13
355,21
355,6
356,180
357,149
358,39
358,44
359,42
360,26
361,237
362,15
363,21
363,65
364,5
365,4
365,13
366,69
367,69
368,71
368,4
369,370
370,19
371,6
372,26
372,6
375,180
377,21
377,43
377,6
379,19
380,21
380,6
381,5
382,37
383,69
384,370
386,4
387,39
387,24
388,39
388,24
389,39
389,24
390,44
391,107
391,246
392,6
392,16
393,107
393,6
395,109
396,4
397,24
398,107
400,107
400,15
401,19
403,15
404,29
408,104
414,21
414,6
416,4
420,21
420,6
424,21
427,4
433,4
435,6
436,229
436,116
436,30
437,34
437,66
439,19
441,3
444,74
445,237
445,4
446,21
447,237
447,6
448,34
453,370
456,57
457,93
458,4
459,475
459,6
459,107
459,24
460,4
462,6
465,6
466,19
467,21
467,6
469,4
470,93
470,74
471,30
472,74
473,4
474,60
475,69
476,36
476,6
477,46
477,6
478,180
479,21
480,44
480,60
480,501
480,39
480,3
480,15
481,134
481,30
482,20
482,6
483,509
484,237
484,4
485,97
486,3
486,38
487,5
488,6
488,37
488,46
489,43
489,46
490,6
490,24
492,6
493,6
493,21
494,38
495,237
496,6
497,24
498,21
498,6
499,69
499,38
499,134
500,237
501,46
502,65
503,42
503,46
504,14
504,66
505,20
505,6
506,544
507,311
507,15
508,43
508,46
509,19
510,43
510,46
511,19
512,65
513,60
514,4
514,237
515,65
516,101
517,24
517,21
519,561
519,4
